"","chromosome_name","start_position","end_position","hgnc_symbol"
"2875","12",101475336,101486997,"SPIC"
"2876","11",63813456,63827716,"SPINDOC"
"2877","9",33218365,33248567,"SPINK4"
"2878","10",72059034,72089032,"SPOCK2"
"2879","CHR_HSCHR17_2_CTG5",45856453,45858690,"SPPL2C"
"2880","CHR_HSCHR17_1_CTG5",46250606,46252843,"SPPL2C"
"2881","17",45844881,45847067,"SPPL2C"
"2882","12",56468578,56479708,"SPRYD4"
"2883","13",49912702,49936490,"SPRYD7"
"2884","14",34432788,34462240,"SPTSSA"
"2885","5",80319625,80321842,"SPZ1"
"2886","CHR_HG30_PATCH",179821758,179838931,"SQSTM1"
"2887","5",179806398,179838078,"SQSTM1"
"2888","CHR_HSCHR17_7_CTG4",38330785,38406717,"SRCIN1"
"2889","17",38530031,38605952,"SRCIN1"
"2890","17",17810399,17837002,"SREBF1"
"2891","5",121961975,122075570,"SRFBP1"
"2892","20",63538489,63547749,"SRMS"
"2893","17",76038775,76072517,"SRP68"
"2894","6",35832966,35921342,"SRPK1"
"2895","3",133784023,133825772,"SRPRB"
"2896","X",38149336,38220924,"SRPX"
"2897","17",2303383,2325260,"SRR"
"2898","6",89095959,89118071,"SRSF12"
"2899","17",76734115,76737333,"SRSF2"
"2900","12",120461672,120469748,"SRSF9"
"2901","2",169791933,169812064,"SSB"
"2902","CHR_HSCHR7_1_CTG6",141744329,141752534,"SSBP1"
"2903","7",141738334,141787922,"SSBP1"
"2904","1",54225433,54413479,"SSBP3"
"2905","17",29625938,29930276,"SSH2"
"2906","7",130206344,130216844,"SSMEM1"
"2907","3",187668912,187670394,"SST"
"2908","20",23035312,23039237,"SSTR4"
"2909","11",126355640,126440344,"ST3GAL4"
"2910","3",186930325,187078553,"ST6GAL1"
"2911","9",127907886,127917041,"ST6GALNAC4"
"2912","15",92393881,92468728,"ST8SIA2"
"2913","18",57352557,57371731,"ST8SIA3"
"2914","12",103587273,103766719,"STAB2"
"2915","17",39210541,39225945,"STAC2"
"2916","12",57243453,57251188,"STAC3"
"2917","3",136336236,136752403,"STAG1"
"2918","X",123960212,124422664,"STAG2"
"2919","2",96184859,96208827,"STARD7"
"2920","2",191029576,191151596,"STAT4"
"2921","17",42199176,42288633,"STAT5B"
"2922","7",90154456,90164829,"STEAP1"
"2923","2",119223831,119265652,"STEAP3"
"2924","4",26857601,27025381,"STIM2"
"2925","CHR_HSCHR6_MHC_SSTO_CTG1",31963829,31974100,"STK19"
"2926","CHR_HSCHR6_MHC_MCF_CTG1",32047618,32057890,"STK19"
"2927","CHR_HSCHR6_MHC_DBB_CTG1",31953357,31965001,"STK19"
"2928","CHR_HSCHR6_MHC_QBL_CTG1",31961552,31971824,"STK19"
"2929","CHR_HSCHR6_MHC_COX_CTG1",31958721,31968992,"STK19"
"2930","6",31971091,31982821,"STK19"
"2931","4",5051480,5500994,"STK32B"
"2932","9",35099776,35103195,"STOML2"
"2933","1",24356999,24416934,"STPG1"
"2934","2",47045538,47155308,"STPG4"
"2935","7",135231979,135258663,"STRA8"
"2936","17",63682336,63741986,"STRADA"
"2937","15",43599563,43618800,"STRC"
"2938","14",30893799,31026401,"STRN3"
"2939","19",46719511,46746994,"STRN4"
"2940","3",31532638,31637616,"STT3B"
"2941","17",9250471,9576591,"STX8"
"2942","19",7636772,7647873,"STXBP2"
"2943","12",10618923,10674318,"STYK1"
"2944","14",52730166,52774989,"STYX"
"2945","2",84423528,84460045,"SUCLG1"
"2946","3",67360460,67654612,"SUCLG2"
"2947","8",69466624,69660915,"SULF1"
"2948","4",69721167,69787961,"SULT1B1"
"2949","2",108288639,108309915,"SULT1C2"
"2950","19",47870467,47886315,"SULT2A1"
"2951","3",3700814,4467273,"SUMF1"
"2952","21",44805617,44818779,"SUMO3"
"2953","2",27650809,27663840,"SUPT7L"
"2954","14",69611596,69715144,"SUSD6"
"2955","X",48695554,48709016,"SUV39H1"
"2956","10",29457338,29736959,"SVIL"
"2957","11",9664077,9752993,"SWAP70"
"2958","1",185157080,185291781,"SWT1"
"2959","8",109573978,109691791,"SYBU"
"2960","10",133553901,133569835,"SYCE1"
"2961","12",101728648,101739472,"SYCP3"
"2962","1",85156889,85201724,"SYDE2"
"2963","1",25222276,25232502,"SYF2"
"2964","3",12004388,12192032,"SYN2"
"2965","10",46578217,46594173,"SYT15"
"2966","1",114089291,114153880,"SYT6"
"2967","11",7238778,7469043,"SYT9"
"2968","1",43389882,43454247,"SZT2"
"2969","6",132617022,132624275,"TAAR2"
"2970","6",132570322,132571359,"TAAR6"
"2971","10",121989163,122254545,"TACC2"
"2972","4",1712858,1745171,"TACC3"
"2973","2",75046463,75199520,"TACR1"
"2974","1",28587829,28648291,"TAF12"
"2975","6",42050513,42087461,"TAF8"
"2976","9",105662457,105663124,"TAL2"
"2977","11",747415,765012,"TALDO1"
"2978","2",161136908,161236230,"TANK"
"2979","1",150487414,150507602,"TARS2"
"2980","1",18839599,18859660,"TAS1R2"
"2981","17",3662895,3668679,"TAX1BP3"
"2982","10",94402541,94536332,"TBC1D12"
"2983","9",128787253,128810430,"TBC1D13"
"2984","4",6909242,7033118,"TBC1D14"
"2985","12",71839707,71927248,"TBC1D15"
"2986","4",26576437,26756223,"TBC1D19"
"2987","12",64759484,64881033,"TBC1D30"
"2988","19",36114289,36125947,"TBCB"
"2989","3",186546067,186570543,"TBCCD1"
"2990","16",1972053,1982929,"TBL3"
"2991","2",161416297,161425870,"TBR1"
"2992","22",19756703,19783593,"TBX1"
"2993","1",118883046,118989556,"TBX15"
"2994","6",84687351,84764598,"TBX18"
"2995","17",61399843,61409466,"TBX2"
"2996","7",139777051,140020325,"TBXAS1"
"2997","3",44338119,44409451,"TCAIM"
"2998","17",39665349,39666554,"TCAP"
"2999","20",64049836,64072347,"TCEA2"
"3000","X",13653112,13681964,"TCEANC"
"3001","5",134114681,134151865,"TCF7"
"3002","10",112950247,113167678,"TCF7L2"
"3003","8",40153482,40155310,"TCIM"
"3004","11",68039025,68050895,"TCIRG1"
"3005","6",159778498,159789703,"TCP1"
"3006","3",49412212,49416476,"TCTA"
"3007","6",44278734,44297698,"TCTE1"
"3008","12",110614027,110663431,"TCTN1"
"3009","12",123671110,123708399,"TCTN2"
"3010","10",95659823,95694143,"TCTN3"
"3011","3",46574534,46582457,"TDGF1"
"3012","CHR_HSCHR4_1_CTG12",155854738,155920406,"TDO2"
"3013","4",155854738,155920406,"TDO2"
"3014","9",97412096,97496125,"TDRD7"
"3015","19",49340595,49362457,"TEAD2"
"3016","4",48135783,48269838,"TEC"
"3017","10",112283400,112305038,"TECTB"
"3018","14",105489855,105499575,"TEDC1"
"3019","16",2460086,2464963,"TEDC2"
"3020","16",10627501,10694930,"TEKT5"
"3021","5",166979029,168264157,"TENM2"
"3022","6",81491439,81752774,"TENT5A"
"3023","1",117606048,117628389,"TENT5C"
"3024","16",66754640,66801620,"TERB1"
"3025","8",73008856,73048123,"TERF1"
"3026","9",35605262,35610041,"TESK1"
"3027","1",45343883,45491163,"TESK2"
"3028","12",54948015,54984762,"TESPA1"
"3029","9",100302077,100352942,"TEX10"
"3030","13",30932656,30975500,"TEX26"
"3031","3",51662693,51704323,"TEX264"
"3032","5",126631705,126636284,"TEX43"
"3033","2",231592864,231594276,"TEX44"
"3034","6",10393186,10419659,"TFAP2A"
"3035","1",35573314,35595328,"TFAP2E"
"3036","6",155256134,155314493,"TFB1M"
"3037","3",141944428,142149544,"TFDP2"
"3038","6",41683978,41736259,"TFEB"
"3039","7",93885396,93890753,"TFPI2"
"3040","7",100620416,100642779,"TFR2"
"3041","1",218345336,218444619,"TGFB2"
"3042","14",75958097,75983011,"TGFB3"
"3043","3",30606601,30694142,"TGFBR2"
"3044","18",3411608,3459978,"TGIF1"
"3045","CHR_HG1_PATCH",24249113,24264431,"TGM1"
"3046","14",24249114,24264432,"TGM1"
"3047","20",38127385,38166578,"TGM2"
"3048","20",2296001,2341079,"TGM3"
"3049","15",39581079,39599466,"THBS1"
"3050","1",151870866,151909637,"THEM4"
"3051","1",151847101,151853712,"THEM5"
"3052","5",157731420,157741449,"THG1L"
"3053","16",3024027,3027755,"THOC6"
"3054","19",2785503,2815807,"THOP1"
"3055","1",36224432,36305357,"THRAP3"
"3056","3",24117153,24495756,"THRB"
"3057","15",71096952,71783383,"THSD4"
"3058","3",9362971,9386791,"THUMPD3"
"3059","11",134248279,134253370,"THYN1"
"3060","2",70209444,70248660,"TIA1"
"3061","1",43300982,43323108,"TIE1"
"3062","12",4307763,4360028,"TIGAR"
"3063","4",89111533,89114901,"TIGD2"
"3064","CHR_HSCHR8_3_CTG7",143597835,143603224,"TIGD5"
"3065","8",143597831,143603224,"TIGD5"
"3066","11",57528464,57530803,"TIMM10"
"3067","19",39480412,39493785,"TIMM50"
"3068","11",112084800,112086798,"TIMM8B"
"3069","X",47582408,47586789,"TIMP1"
"3070","17",78852977,78925387,"TIMP2"
"3071","6",54307859,54390142,"TINAG"
"3072","3",156673235,156706770,"TIPARP"
"3073","9",69121264,69274615,"TJP2"
"3074","17",28724348,28727935,"TLCD1"
"3075","9",79571773,79726882,"TLE4"
"3076","17",62458658,62615481,"TLK2"
"3077","4",38790677,38856817,"TLR1"
"3078","4",153684070,153706260,"TLR2"
"3079","8",38988808,38996824,"TM2D2"
"3080","15",101621444,101652391,"TM2D3"
"3081","3",196319342,196338503,"TM4SF19"
"3082","4",163494442,163520539,"TMA16"
"3083","12",66135846,66170027,"TMBIM4"
"3084","12",49707725,49764934,"TMBIM6"
"3085","16",19410496,19499113,"TMC5"
"3086","16",18983934,19063942,"TMC7"
"3087","12",94567122,94650557,"TMCC3"
"3088","13",113491021,113554590,"TMCO3"
"3089","16",69343250,69351786,"TMED6"
"3090","11",60914158,60923443,"TMEM109"
"3091","12",108589851,108598320,"TMEM119"
"3092","7",75986831,75994656,"TMEM120A"
"3093","11",85647967,85656547,"TMEM126A"
"3094","2",96248514,96265997,"TMEM127"
"3095","4",1715952,1721358,"TMEM129"
"3096","12",125186386,125662377,"TMEM132B"
"3097","17",34579487,34639318,"TMEM132E"
"3098","7",143279957,143288048,"TMEM139"
"3099","19",48332356,48364059,"TMEM143"
"3100","19",35545600,35547526,"TMEM147"
"3101","6",52671113,52686588,"TMEM14A"
"3102","6",44270450,44307506,"TMEM151B"
"3103","4",55395957,55453397,"TMEM165"
"3104","2",216081866,216102783,"TMEM169"
"3105","4",147617386,147672044,"TMEM184C"
"3106","X",149596556,149631912,"TMEM185A"
"3107","12",71686082,71705047,"TMEM19"
"3108","19",55376826,55378246,"TMEM190"
"3109","4",165070608,165208549,"TMEM192"
"3110","2",219543663,219550595,"TMEM198"
"3111","17",28357642,28363683,"TMEM199"
"3112","6",130366017,130443067,"TMEM200A"
"3113","9",137204082,137205648,"TMEM203"
"3114","19",11342776,11346518,"TMEM205"
"3115","7",130164713,130207770,"TMEM209"
"3116","6",37212180,37258155,"TMEM217"
"3117","19",17435509,17448668,"TMEM221"
"3118","20",5068232,5113103,"TMEM230"
"3119","16",75536741,75556289,"TMEM231"
"3120","5",110289233,110738956,"TMEM232"
"3121","10",17752201,17800868,"TMEM236"
"3122","6",157289025,157323601,"TMEM242"
"3123","2",46479565,46484425,"TMEM247"
"3124","11",118531041,118547280,"TMEM25"
"3125","9",68536580,68540883,"TMEM252"
"3126","11",61768501,61792802,"TMEM258"
"3127","14",56488354,56650606,"TMEM260"
"3128","10",49154725,49188585,"TMEM273"
"3129","9",105694541,105776629,"TMEM38B"
"3130","CHR_HSCHR21_4_CTG1_1",33432485,33489568,"TMEM50B"
"3131","21",33432485,33479974,"TMEM50B"
"3132","6",44126914,44155519,"TMEM63B"
"3133","8",73972437,73982783,"TMEM70"
"3134","20",1180561,1185415,"TMEM74B"
"3135","11",695591,705028,"TMEM80"
"3136","9",97501180,97601743,"TMOD1"
"3137","4",68226653,68245694,"TMPRSS11B"
"3138","21",18269116,18485879,"TMPRSS15"
"3139","12",29500840,29784759,"TMTC1"
"3140","13",100603625,100675093,"TMTC4"
"3141","9",115019575,115118207,"TNC"
"3142","CHR_HSCHR6_MHC_APD_CTG1",31643520,31645322,"TNF"
"3143","CHR_HSCHR6_MHC_COX_CTG1",31562973,31565742,"TNF"
"3144","CHR_HSCHR6_MHC_MCF_CTG1",31651872,31654641,"TNF"
"3145","CHR_HSCHR6_MHC_DBB_CTG1",31557707,31560476,"TNF"
"3146","CHR_HSCHR6_MHC_MANN_CTG1",31615015,31617784,"TNF"
"3147","CHR_HSCHR6_MHC_SSTO_CTG1",31566312,31569081,"TNF"
"3148","CHR_HSCHR6_MHC_QBL_CTG1",31565793,31568564,"TNF"
"3149","6",31575565,31578336,"TNF"
"3150","8",23020133,23069031,"TNFRSF10B"
"3151","22",41922032,41926806,"TNFRSF13C"
"3152","CHR_HSCHR1_1_CTG3",2555639,2565622,"TNFRSF14"
"3153","1",2555639,2565382,"TNFRSF14"
"3154","1",1211326,1214153,"TNFRSF4"
"3155","19",6661253,6670588,"TNFSF14"
"3156","9",114893343,114930595,"TNFSF8"
"3157","CHR_HG76_PATCH",10177060,10400259,"TNKS"
"3158","8",9555912,9782346,"TNKS"
"3159","10",91798426,91865475,"TNKS2"
"3160","1",175067833,175148075,"TNN"
"3161","CHR_HG28_PATCH",1838981,1841680,"TNNI2"
"3162","11",1838981,1841680,"TNNI2"
"3163","1",74235387,74544428,"TNNI3K"
"3164","19",55132698,55149206,"TNNT1"
"3165","7",47275154,47582558,"TNS3"
"3166","17",54899387,54961956,"TOM1L1"
"3167","14",58395928,58408702,"TOMM20L"
"3168","6",41787662,41789898,"TOMM6"
"3169","11",69048932,69136316,"TPCN2"
"3170","19",507497,519654,"TPGS1"
"3171","12",6867119,6870948,"TPI1"
"3172","7",144451941,144836395,"TPK1"
"3173","19",16067021,16103002,"TPM4"
"3174","6",18128311,18155077,"TPMT"
"3175","5",659862,693352,"TPPP"
"3176","16",67389809,67393518,"TPPP3"
"3177","3",127571232,127598267,"TPRA1"
"3178","22",50185913,50199598,"TRABD"
"3179","9",136881912,136926607,"TRAF2"
"3180","12",112125538,112153604,"TRAFD1"
"3181","3",42013802,42225890,"TRAK1"
"3182","3",36826819,36945057,"TRANK1"
"3183","18",31829197,31953136,"TRAPPC8"
"3184","10",17137336,17202054,"TRDMT1"
"3185","6",123216339,123637093,"TRDN"
"3186","6",42224931,42452051,"TRERF1"
"3187","3",48465811,48467645,"TREX1"
"3188","20",362835,397559,"TRIB3"
"3189","CHR_HSCHR6_MHC_APD_CTG1",30144448,30153436,"TRIM10"
"3190","CHR_HSCHR6_MHC_QBL_CTG1",30141481,30150469,"TRIM10"
"3191","CHR_HSCHR6_MHC_SSTO_CTG1",30142335,30151326,"TRIM10"
"3192","CHR_HSCHR6_MHC_DBB_CTG1",30142269,30151257,"TRIM10"
"3193","CHR_HSCHR6_MHC_COX_CTG1",30141872,30150859,"TRIM10"
"3194","CHR_HSCHR6_MHC_MANN_CTG1",30197074,30206062,"TRIM10"
"3195","CHR_HSCHR6_MHC_MCF_CTG1",30230427,30239418,"TRIM10"
"3196","6",30151943,30161211,"TRIM10"
"3197","9",98069275,98119222,"TRIM14"
"3198","17",15627960,15684311,"TRIM16"
"3199","11",4384897,4393702,"TRIM21"
"3200","1",114392790,114511203,"TRIM33"
"3201","2",95477008,95484754,"TRIM43B"
"3202","11",35662775,35818007,"TRIM44"
"3203","CHR_HSCHR15_3_CTG8",44729020,44767863,"TRIM69"
"3204","15",44728988,44767829,"TRIM69"
"3205","5",181193924,181205293,"TRIM7"
"3206","4",188139441,188147743,"TRIML1"
"3207","4",188091272,188109603,"TRIML2"
"3208","5",14143342,14532128,"TRIO"
"3209","19",12730640,12734684,"TRIR"
"3210","3",101561868,101566446,"TRMT10C"
"3211","1",100133150,100150496,"TRMT13"
"3212","X",101009346,101052116,"TRMT2B"
"3213","14",60971441,60981170,"TRMT5"
"3214","20",5937228,5950558,"TRMT6"
"3215","11",3616679,3637549,"TRPC2"
"3216","11",3626439,3637672,"TRPC2"
"3217","11",101451564,101872562,"TRPC6"
"3218","9",74722495,74888094,"TRPM6"
"3219","2",233917373,234019522,"TRPM8"
"3220","17",16415571,16437003,"TRPV2"
"3221","1",184051651,184123978,"TSEN15"
"3222","12",57782761,57808071,"TSFM"
"3223","11",18468336,18526951,"TSG101"
"3224","7",130668643,130687432,"TSGA13"
"3225","19",31149979,31349436,"TSHZ3"
"3226","5",111070062,111078026,"TSLP"
"3227","1",46175073,46185962,"TSPAN1"
"3228","10",69451465,69507666,"TSPAN15"
"3229","5",176647387,176659054,"TSPAN17"
"3230","1",115048011,115089503,"TSPAN2"
"3231","4",98470367,98658611,"TSPAN5"
"3232","X",100627108,100639991,"TSPAN6"
"3233","X",38561542,38688920,"TSPAN7"
"3234","12",3077355,3286564,"TSPAN9"
"3235","21",44497893,44711572,"TSPEAR"
"3236","17",2322396,2336657,"TSR1"
"3237","6",99520976,99589899,"TSTD3"
"3238","15",42738730,42920809,"TTBK2"
"3239","9",127716079,127731590,"TTC16"
"3240","5",34838833,34900511,"TTC23L"
"3241","7",139133744,139191986,"TTC26"
"3242","11",118527472,118531197,"TTC36"
"3243","5",95461755,95555050,"TTC37"
"3244","18",23992773,24135610,"TTC39C"
"3245","14",20256558,20305960,"TTC5"
"3246","14",90524564,90816479,"TTC7B"
"3247","14",88824153,88881078,"TTC8"
"3248","14",70641916,70675366,"TTC9"
"3249","1",117060326,117107453,"TTF2"
"3250","20",37983007,38033461,"TTI1"
"3251","8",33473386,33513185,"TTI2"
"3252","2",112482156,112541739,"TTL"
"3253","22",43039516,43089419,"TTLL1"
"3254","2",218710835,218755416,"TTLL4"
"3255","2",178525989,178830802,"TTN"
"3256","10",5393101,5404828,"TUBAL3"
"3257","20",59019429,59026654,"TUBB1"
"3258","22",30969245,30979395,"TUG1"
"3259","6",158232236,158511828,"TULP4"
"3260","9",25676969,25678444,"TUSC1"
"3261","9",86287733,86354454,"TUT7"
"3262","14",52430596,52552522,"TXNDC16"
"3263","18",9885766,9889275,"TXNDC2"
"3264","9",110303476,110337884,"TXNDC8"
"3265","1",145992435,145996579,"TXNIP"
"3266","18",79970813,80033949,"TXNL4A"
"3267","10",70137981,70146700,"TYSND1"
"3268","1",74733152,74766678,"TYW3"
"3269","21",43092956,43107570,"U2AF1"
"3270","3",142964497,143060725,"U2SURP"
"3271","9",137077517,137084539,"UAP1L1"
"3272","19",18571730,18577550,"UBA52"
"3273","15",65092760,65115200,"UBAP1L"
"3274","11",122655722,122814473,"UBASH3B"
"3275","12",124911604,124917368,"UBC"
"3276","4",102794383,102868896,"UBE2D3"
"3277","3",23805955,23891640,"UBE2E1"
"3278","2",180967248,181076585,"UBE2E3"
"3279","17",4269259,4366675,"UBE2G1"
"3280","21",44768580,44801826,"UBE2G2"
"3281","1",1253909,1273864,"UBE2J2"
"3282","15",75843307,75901078,"UBE2Q2"
"3283","19",55399745,55407788,"UBE2S"
"3284","7",157138916,157269370,"UBE3C"
"3285","13",29764371,29850617,"UBL3"
"3286","3",33388336,33441371,"UBP1"
"3287","9",83659968,83707958,"UBQLN1"
"3288","1",156035299,156053798,"UBQLN4"
"3289","8",102252273,102412759,"UBR5"
"3290","5",172209646,172283764,"UBTD2"
"3291","1",26281328,26318363,"UBXN11"
"3292","8",30729131,30767006,"UBXN8"
"3293","10",13221766,13234374,"UCMA"
"3294","13",38349849,38363619,"UFM1"
"3295","2",128091200,128195677,"UGGT1"
"3296","13",95801580,96053482,"UGGT2"
"3297","2",233636448,233773300,"UGT1A10"
"3298","2",233671898,233773300,"UGT1A9"
"3299","CHR_HSCHR4_1_CTG9",68810840,68834168,"UGT2A3"
"3300","4",68928463,68951804,"UGT2A3"
"3301","5",35951006,36001028,"UGT3A1"
"3302","1",162497251,162529631,"UHMK1"
"3303","19",4903080,4962154,"UHRF1"
"3304","12",100028455,100142874,"UHRF1BP1L"
"3305","15",53978201,54628707,"UNC13C"
"3306","10",71212570,71302864,"UNC5B"
"3307","6",41026895,41039221,"UNC5CL"
"3308","8",35235475,35796550,"UNC5D"
"3309","11",67991100,68004982,"UNC93B1"
"3310","12",109097597,109126725,"UNG"
"3311","13",114281601,114305817,"UPF3A"
"3312","7",48088628,48108736,"UPP1"
"3313","20",35302566,35412031,"UQCC1"
"3314","6",33694293,33711727,"UQCC2"
"3315","22",29767369,29770413,"UQCR10"
"3316","5",132866630,132868847,"UQCRQ"
"3317","10",125784980,125823258,"UROS"
"3318","16",57999546,58021618,"USB1"
"3319","11",17493895,17544416,"USH1C"
"3320","17",74916083,74923256,"USH1G"
"3321","21",29024629,29054488,"USP16"
"3322","X",49879484,49882558,"USP27X"
"3323","19",57119138,57131926,"USP29"
"3324","1",77695987,77759852,"USP33"
"3325","2",218450251,218568351,"USP37"
"3326","X",55484616,55489848,"USP51"
"3327","4",119212587,119295518,"USP53"
"3328","X",41085445,41236579,"USP9X"
"3329","Y",12537650,12860839,"USP9Y"
"3330","10",133230217,133231558,"UTF1"
"3331","17",51260546,51297936,"UTP18"
"3332","12",101280105,101386618,"UTP20"
"3333","1",7843083,7853512,"UTS2"
"3334","17",82371765,82377458,"UTS2R"
"3335","1",7771296,7781432,"VAMP3"
"3336","1",160400564,160428670,"VANGL2"
"3337","CHR_HSCHR6_MHC_COX_CTG1",30904070,30916176,"VARS2"
"3338","CHR_HSCHR6_MHC_DBB_CTG1",30904916,30917183,"VARS2"
"3339","CHR_HSCHR6_MHC_QBL_CTG1",30903778,30916043,"VARS2"
"3340","CHR_HSCHR6_MHC_MCF_CTG1",30992759,31005022,"VARS2"
"3341","CHR_HSCHR6_MHC_MANN_CTG1",30958848,30971104,"VARS2"
"3342","6",30914205,30926459,"VARS2"
"3343","14",76761468,76783015,"VASH1"
"3344","11",64234584,64239264,"VEGFB"
"3345","17",57971547,57988259,"VEZF1"
"3346","12",95217746,95302799,"VEZT"
"3347","6",117265558,117273565,"VGLL2"
"3348","3",86876388,86991149,"VGLL3"
"3349","3",11556069,11771350,"VGLL4"
"3350","3",37988059,38007188,"VILL"
"3351","8",94487689,94553529,"VIRMA"
"3352","19",5904872,5910853,"VMAC"
"3353","15",40894450,40903975,"VPS18"
"3354","11",134224671,134247788,"VPS26B"
"3355","15",90998673,91022603,"VPS33B"
"3356","8",17246931,17302427,"VPS37A"
"3357","16",69311350,69326939,"VPS4A"
"3358","CHR_HG2285_HG106_HG2252_PATCH",470782,683831,"VPS53"
"3359","17",508503,721717,"VPS53"
"3360","14",74303069,74360008,"VRTN"
"3361","19",29525994,29564551,"VSTM2B"
"3362","10",112446998,112818744,"VTI1A"
"3363","17",28367284,28373091,"VTN"
"3364","16",22092538,22156964,"VWA3A"
"3365","2",214411054,214578976,"VWC2L"
"3366","1",119031216,119140654,"WARS2"
"3367","6",110099819,110180004,"WASF1"
"3368","13",26557683,26688948,"WASF3"
"3369","9",14475,73865,"WASHC1"
"3370","7",123681943,123749003,"WASL"
"3371","10",120851305,120909524,"WDR11"
"3372","2",202874261,203014798,"WDR12"
"3373","4",39182504,39285810,"WDR19"
"3374","14",100376418,100530303,"WDR25"
"3375","1",117929720,117966543,"WDR3"
"3376","2",19910263,19990105,"WDR35"
"3377","2",28894667,28948219,"WDR43"
"3378","16",74871362,75000173,"WDR59"
"3379","3",122411846,122416062,"WDR5B"
"3380","15",78277835,78299703,"WDR61"
"3381","18",56651343,57029811,"WDR7"
"3382","15",43826980,43868412,"WDR76"
"3383","1",111439890,111449256,"WDR77"
"3384","CHR_HSCHR17_1_CTG2",1716523,1738610,"WDR81"
"3385","17",1716523,1738599,"WDR81"
"3386","7",151375909,151410727,"WDR86"
"3387","15",89690811,89743638,"WDR93"
"3388","1",27234632,27308636,"WDTC1"
"3389","20",45648563,45670270,"WFDC11"
"3390","20",45123425,45124465,"WFDC12"
"3391","17",40219304,40284136,"WIPF2"
"3392","X",54192823,54358642,"WNK3"
"3393","12",48965340,48971735,"WNT10B"
"3394","2",218859805,218874233,"WNT6"
"3395","8",31033788,31176138,"WRN"
"3396","12",118032687,118062430,"WSB2"
"3397","12",108129288,108250537,"WSCD2"
"3398","19",34481758,34512304,"WTIP"
"3399","8",86342547,86478420,"WWP1"
"3400","19",7619525,7629545,"XAB2"
"3401","17",6755447,6775647,"XAF1"
"3402","3",39183210,39192596,"XIRP1"
"3403","X",37685791,37732130,"XK"
"3404","8",55102028,55542054,"XKR4"
"3405","CHR_HG76_PATCH",6811203,6835487,"XKR5"
"3406","8",6808517,6835524,"XKR5"
"3407","22",40857077,40932815,"XPNPEP3"
"3408","2",61476032,61538741,"XPO1"
"3409","13",20777329,20903048,"XPO4"
"3410","12",64404392,64451125,"XPOT"
"3411","1",42682418,42703805,"YBX1"
"3412","18",721588,812546,"YES1"
"3413","5",144158162,144170714,"YIPF5"
"3414","7",44200959,44214294,"YKT6"
"3415","1",207043849,207052980,"YOD1"
"3416","20",44885702,44908532,"YWHAB"
"3417","8",100916523,100953388,"YWHAZ"
"3418","14",100238298,100282788,"YY1"
"3419","20",57603846,57620576,"ZBP1"
"3420","CHR_HSCHR6_MHC_QBL_CTG1",31889987,31892374,"ZBTB12"
"3421","CHR_HSCHR6_MHC_DBB_CTG1",31881788,31884173,"ZBTB12"
"3422","CHR_HSCHR6_MHC_MCF_CTG1",31976089,31978474,"ZBTB12"
"3423","CHR_HSCHR6_MHC_COX_CTG1",31887151,31889536,"ZBTB12"
"3424","6",31899613,31902086,"ZBTB12"
"3425","18",5289019,5297053,"ZBTB14"
"3426","11",114059041,114256765,"ZBTB16"
"3427","1",15941869,15976132,"ZBTB17"
"3428","3",114314500,115147292,"ZBTB20"
"3429","X",120250752,120258398,"ZBTB33"
"3430","14",104800596,104804712,"ZBTB42"
"3431","20",63743668,63832038,"ZBTB46"
"3432","1",6579994,6589280,"ZBTB48"
"3433","4",4290251,4321786,"ZBTB49"
"3434","9",37438102,37465450,"ZBTB5"
"3435","1",203795623,203854999,"ZC3H11A"
"3436","14",88562970,88627596,"ZC3H14"
"3437","CHR_HSCHR8_3_CTG7",143536257,143541453,"ZC3H3"
"3438","8",143437659,143541447,"ZC3H3"
"3439","19",47064187,47113776,"ZC3H4"
"3440","2",112275597,112340063,"ZC3H6"
"3441","2",112211529,112255136,"ZC3H8"
"3442","7",130018287,130051451,"ZC3HC1"
"3443","16",87406246,87493024,"ZCCHC14"
"3444","6",157381133,157678157,"ZDHHC14"
"3445","1",26826688,26857604,"ZDHHC18"
"3446","3",196197452,196211437,"ZDHHC19"
"3447","3",113947901,113965401,"ZDHHC23"
"3448","7",6577434,6589374,"ZDHHC4"
"3449","11",57667747,57701182,"ZDHHC5"
"3450","8",81701334,81732903,"ZFAND1"
"3451","2",219195237,219209651,"ZFAND2B"
"3452","8",134477788,134713049,"ZFAT"
"3453","16",72782885,73891871,"ZFHX3"
"3454","8",76681239,76867281,"ZFHX4"
"3455","5",178895898,178933212,"ZFP2"
"3456","CHR_HSCHR6_MHC_APD_CTG1",29672598,29673248,"ZFP57"
"3457","CHR_HSCHR6_MHC_DBB_CTG1",29672345,29681055,"ZFP57"
"3458","CHR_HSCHR6_MHC_COX_CTG1",29668984,29677737,"ZFP57"
"3459","CHR_HSCHR6_MHC_SSTO_CTG1",29672889,29681605,"ZFP57"
"3460","CHR_HSCHR6_MHC_MCF_CTG1",29672173,29680888,"ZFP57"
"3461","CHR_HSCHR6_MHC_QBL_CTG1",29672300,29681010,"ZFP57"
"3462","CHR_HSCHR6_MHC_MANN_CTG1",29671913,29680622,"ZFP57"
"3463","6",29672483,29681155,"ZFP57"
"3464","19",36383120,36418644,"ZFP82"
"3465","15",40807086,40815084,"ZFYVE19"
"3466","13",99981784,99986765,"ZIC2"
